model,group,n,TP,FP,TN,FN,precision,recall,specificity,F1,accuracy,balanced_accuracy,scenes,selected_good,selected_bad,abstain,selected_good_rate
Qwen2.5-32B,concrete16,16,7,3,3,3,0.7,0.7,0.5,0.7,0.625,0.6,5,4,1,0,0.8
Qwen2.5-32B,combined89,89,50,9,19,11,0.847457627118644,0.819672131147541,0.6785714285714286,0.8333333333333334,0.7752808988764045,0.7491217798594848,21,19,2,0,0.9047619047619048
Qwen2.5-3B,concrete16,16,7,5,1,3,0.5833333333333334,0.7,0.16666666666666666,0.6363636363636364,0.5,0.4333333333333333,5,2,3,0,0.4
Qwen2.5-3B,combined89,89,43,18,10,18,0.7049180327868853,0.7049180327868853,0.35714285714285715,0.7049180327868853,0.5955056179775281,0.5310304449648712,21,15,6,0,0.7142857142857143
Qwen3-2B,concrete16,16,3,2,4,7,0.6,0.3,0.6666666666666666,0.4,0.4375,0.4833333333333333,5,2,1,2,0.4
Qwen3-2B,combined89,89,44,10,18,17,0.8148148148148148,0.7213114754098361,0.6428571428571429,0.7652173913043478,0.6966292134831461,0.6820843091334895,21,15,3,3,0.7142857142857143
Classical RGB+mask,concrete16,16,5,3,3,5,0.625,0.5,0.5,0.5555555555555556,0.5,0.5,5,2,2,1,0.4
Classical RGB+mask,combined89,89,47,15,13,14,0.7580645161290323,0.7704918032786885,0.4642857142857143,0.7642276422764228,0.6741573033707865,0.6173887587822013,21,15,5,1,0.7142857142857143
