case_id,case_index,material,object_id,path_label,manual_mm,manual_source_field,mask_based_mm,whole_roi_depth_mm,strip_depth_mm,mask_abs_err_mm,whole_roi_depth_abs_err_mm,strip_depth_abs_err_mm,mask_pct_err,whole_roi_depth_pct_err,strip_depth_pct_err,mask_valid,whole_roi_depth_valid,strip_depth_valid,mask_failure_reason,whole_roi_depth_failure_reason,strip_depth_failure_reason,mask_source,direction_source,anchor_source,p0_x,p0_y,direction_x,direction_y,selected_mask_area_px,valid_depth_fraction,in_range_268_375_fraction,evaluation_valid,invalid_reason
case_001_1,1,timber,1,major,38.0,major_axis_mm,37.529448375072135,38.288001290232785,36.421765257548465,0.4705516249278645,0.28800129023278487,1.578234742451535,1.2382937498101698,0.7578981321915391,4.153249322240882,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_001_1/selected_mask.png,manual_anchor_selection,manual_anchor_selection,665.2522583007812,355.64739990234375,0.007967863448875918,0.9999682560721916,50862,0.9901226128472222,0.6481792534722223,True,
case_001_1,1,timber,1,minor,156.5,minor_axis_mm,156.2788865052258,158.1678450505552,158.3840585258702,0.22111349477418685,1.6678450505552007,1.8840585258701879,0.14128657813047082,1.0657156872557194,1.2038712625368613,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_001_1/selected_mask.png,manual_anchor_selection,manual_anchor_selection,665.2522583007812,355.64739990234375,-0.9999682560721916,0.007967863448875635,50862,0.9901226128472222,0.6481792534722223,True,
case_002_2,2,timber,2,major,37.5,major_axis_mm,50.458898267252806,40.218768351202435,39.42274882752163,12.958898267252806,2.718768351202435,1.9227488275216302,34.55706204600749,7.2500489365398275,5.127330206724348,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_002_2/selected_mask.png,manual_anchor_selection,manual_anchor_selection,477.7121858351966,201.8595938896106,0.9994449125807263,-0.03331466218505658,16209,0.9821744791666667,0.9821744791666667,True,
case_002_2,2,timber,2,minor,75.1,minor_axis_mm,74.95797984057096,73.85086882967312,73.9795472439957,0.14202015942903756,1.2491311703268764,1.1204527560042976,0.18910806848074244,1.6632905064272656,1.4919477443466014,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_002_2/selected_mask.png,manual_anchor_selection,manual_anchor_selection,511.4464284970845,200.73512481262307,0.033314662185056146,0.9994449125807263,16209,0.9821744791666667,0.9821744791666667,True,
case_003_3,3,timber,3,major,37.5,major_axis_mm,37.06915647181973,38.21135271316099,37.82268579611199,0.4308435281802687,0.7113527131609914,0.32268579611199044,1.1489160751473833,1.8969405684293104,0.8604954562986412,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_003_3/selected_mask.png,manual_anchor_selection,manual_anchor_selection,609.1266127752841,355.31026497670365,0.3125986210227167,0.9498853099899461,87790,0.9842426215277778,0.6096788194444445,True,
case_003_3,3,timber,3,minor,271.5,minor_axis_mm,272.77533610719104,277.5518613325029,274.6080137864436,1.2753361071910376,6.051861332502881,3.108013786443621,0.4697370560556308,2.2290465313086116,1.1447564590952564,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_003_3/selected_mask.png,manual_anchor_selection,manual_anchor_selection,608.65771484375,353.88543701171875,-0.9498853099899461,0.31259862102271674,87790,0.9842426215277778,0.6096788194444445,True,
case_004_4,4,timber,4,major,37.5,major_axis_mm,37.508921833311234,39.819227473152715,38.38374816897481,0.008921833311234195,2.319227473152715,0.8837481689748117,0.02379155549662452,6.184606595073906,2.356661783932831,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_004_4/selected_mask.png,manual_anchor_selection,manual_anchor_selection,711.9904505165479,358.88754685206845,-0.2576626787081156,0.9662349320951703,107143,0.9620399305555556,0.5113780381944445,True,
case_004_4,4,timber,4,minor,229.0,minor_axis_mm,231.66466634544798,229.9800065622417,230.07236589606958,2.6646663454479835,0.980006562241698,1.0723658960695843,1.1636097578375475,0.4279504638610035,0.468282050685408,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_004_4/selected_mask.png,manual_anchor_selection,manual_anchor_selection,638.6201355548787,300.7400653629104,-0.9662349320951704,-0.2576626787081153,107143,0.9620399305555556,0.5113780381944445,True,
case_005_5,5,timber,5,major,78.8,major_axis_mm,88.96490521844628,78.57765237860707,79.00655903675305,10.164905218446279,0.2223476213929274,0.20655903675304899,12.899625911733857,0.28216703222452716,0.2621307573008236,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_005_5/selected_mask.png,manual_anchor_selection,manual_anchor_selection,246.99626711336512,356.6540723346932,0.057596528638050815,0.9983399420482215,140728,0.9595779079861111,0.574130859375,True,
case_005_5,5,timber,5,minor,264.0,minor_axis_mm,293.0499456936867,264.45234781385716,264.7806586368189,29.04994569368671,0.45234781385715905,0.7806586368188846,11.003767308214663,0.17134386888528752,0.29570402909806237,True,True,True,,,,workspace/outputs/final_path_results_v1_capture_session_20260704_222852/gsam2_masks/cases/case_005_5/selected_mask.png,manual_anchor_selection,manual_anchor_selection,483.4919357837732,413.1639254592513,-0.9983399420482215,0.05759652863805074,140728,0.9595779079861111,0.574130859375,True,
