case_id,case_index,material,object_id,path_label,manual_mm,selected_anchor_id,selection_source,p0_x,p0_y,direction_x,direction_y,endpoint1_x,endpoint1_y,endpoint2_x,endpoint2_y,mask_path_length_px,mask_path_length_mm,mask_abs_error_mm,mask_signed_error_mm,mask_pct_error,strip_depth_path_length_mm,strip_depth_valid,strip_depth_failure_reason,strip_depth_num_supported_points,strip_depth_valid_depth_fraction,strip_depth_abs_error_mm,strip_depth_signed_error_mm,strip_depth_pct_error,depth_endpoint_mode,depth_lower_quantile,depth_upper_quantile,depth_support_projected_lower,depth_support_projected_upper,depth_support_projected_span_mm,best_method_for_this_path_by_abs_error,notes
case_001_1,1,timber,1,major,38.0,A2,candidate_id,665.2522583007812,355.64739990234375,0.007967863448875918,0.9999682560721916,664.8140258110931,300.6491458183732,665.6904907904694,410.6456539863143,110.00000000000003,37.529448375072135,0.4705516249278645,-0.4705516249278645,1.2382937498101698,36.421765257548465,True,,9122,0.9371833839918946,1.578234742451535,-1.578234742451535,4.153249322240882,percentile,0.0025,0.9975,-17.478591183074975,18.921353345019853,36.39994452809483,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_001_1,1,timber,1,minor,156.5,A5,candidate_id,665.2522583007812,355.64739990234375,-0.9999682560721916,0.007967863448875635,894.2449889413131,353.82275917255123,436.2595276602494,357.47204063213627,457.99999999999994,156.2788865052258,0.22111349477418685,-0.22111349477418685,0.14128657813047082,158.3840585258702,True,,38944,0.972713717693837,1.8840585258701879,1.8840585258701879,1.2038712625368613,percentile,0.0025,0.9975,-80.67412588515077,77.73240399978887,158.40652988493963,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_002_2,2,timber,2,major,37.5,A2,candidate_id,477.7121858351966,201.8595938896106,0.9994449125807263,-0.03331466218505658,425.24132792470846,203.60861365432606,530.1830437456847,200.11057412489512,104.99999999999999,50.458898267252806,12.958898267252806,12.958898267252806,34.55706204600749,39.42274882752163,True,,6931,0.7628571428571429,1.9227488275216302,1.9227488275216302,5.127330206724348,percentile,0.0025,0.9975,-12.667449234297697,26.624681328683756,39.292130562981455,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_002_2,2,timber,2,minor,75.1,A6,candidate_id,511.4464284970845,200.73512481262307,0.033314662185056146,0.9994449125807263,508.8478848466502,122.77842163132642,514.0449721475189,278.69182799391973,156.00000000000003,74.95797984057096,0.14202015942903756,-0.14202015942903756,0.18910806848074244,73.9795472439957,True,,12697,0.9645285249778304,1.1204527560042976,-1.1204527560042976,1.4919477443466014,percentile,0.0025,0.9975,-36.13652410552299,38.13013326609893,74.26665737162192,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_003_3,3,timber,3,major,37.5,A3,candidate_id,609.1266127752841,355.31026497670365,0.3125986210227167,0.9498853099899461,592.089987929546,303.5415155822516,626.1632376210222,407.0790143711557,109.00000000000003,37.06915647181973,0.4308435281802687,-0.4308435281802687,1.1489160751473833,37.82268579611199,True,,9332,0.9340406365729156,0.32268579611199044,0.32268579611199044,0.8604954562986412,percentile,0.0025,0.9975,-18.2021228113762,19.549497353618634,37.75162016499484,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_003_3,3,timber,3,minor,271.5,A7,candidate_id,608.65771484375,353.88543701171875,-0.9498853099899461,0.31259862102271674,989.5617241497184,228.53338998160933,227.75370553778163,479.23748404182817,802.0000000000001,272.77533610719104,1.2753361071910376,1.2753361071910376,0.4697370560556308,274.6080137864436,True,,68150,0.9804041206686154,3.108013786443621,3.108013786443621,1.1447564590952564,percentile,0.0025,0.9975,-138.06391181310948,136.81959759425234,274.8835094073618,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_004_4,4,timber,4,major,37.5,A3,candidate_id,711.9904505165479,358.88754685206845,-0.2576626787081156,0.9662349320951703,728.8673559719294,295.59915879983475,695.1135450611663,422.1759349043021,131.00000000000003,37.508921833311234,0.008921833311234195,0.008921833311234195,0.02379155549662452,38.38374816897481,True,,10310,0.8130246412131059,0.8837481689748117,0.8837481689748117,2.356661783932831,percentile,0.0025,0.9975,-16.86170723510932,21.522040933865487,38.38374816897481,mask,Whole-ROI depth was not used in this main selected-anchor comparison.
case_004_4,4,timber,4,minor,229.0,A5,candidate_id,638.6201355548787,300.7400653629104,-0.9662349320951704,-0.2576626787081153,1029.4621655873752,404.96461890034305,247.7781055223823,196.51551182547774,809.0000000000001,231.66466634544798,2.6646663454479835,2.6646663454479835,1.1636097578375475,230.07236589606958,True,,58992,0.8446141467752636,1.0723658960695843,1.0723658960695843,0.468282050685408,percentile,0.0025,0.9975,-117.43257324954546,112.52432406224291,229.95689731178837,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_005_5,5,timber,5,major,78.8,A1,candidate_id,246.99626711336512,356.6540723346932,0.057596528638050815,0.9983399420482215,240.71824549181758,247.83501865143705,253.27428873491266,465.4731260179493,217.99999999999997,88.96490521844628,10.164905218446279,10.164905218446279,12.899625911733857,79.00655903675305,True,,18369,0.9867532467532467,0.20655903675304899,0.20655903675304899,0.2621307573008236,percentile,0.0025,0.9975,-39.62420051975373,39.33757624604973,78.96177676580346,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
case_005_5,5,timber,5,minor,264.0,A8,candidate_id,483.4919357837732,413.1639254592513,-0.9983399420482215,0.05759652863805074,841.8959749790847,392.4867716781911,125.08789658846172,433.8410792403115,718.0,293.0499456936867,29.04994569368671,29.04994569368671,11.003767308214663,264.7806586368189,True,,55792,0.8955548893061714,0.7806586368188846,0.7806586368188846,0.29570402909806237,percentile,0.0025,0.9975,-135.27298930807157,129.31486367683908,264.5878529849107,strip_depth,Whole-ROI depth was not used in this main selected-anchor comparison.
