group,n,TP,FP,TN,FN,precision,recall,specificity,F1,accuracy,balanced_accuracy
all,82,42,10,20,10,0.8076923076923077,0.8076923076923077,0.6666666666666666,0.8076923076923077,0.7560975609756098,0.7371794871794872
development,19,7,0,5,7,1.0,0.5,1.0,0.6666666666666666,0.631578947368421,0.75
held_out,63,35,10,15,3,0.7777777777777778,0.9210526315789473,0.6,0.8433734939759037,0.7936507936507936,0.7605263157894737
