group,n,TP,FP,TN,FN,precision,recall,specificity,F1,accuracy,balanced_accuracy,scenes,selected_good,abstain
all,73,34,8,14,17,0.8095238095238095,0.6666666666666666,0.6363636363636364,0.7311827956989247,0.6575342465753424,0.6515151515151515,16,13,1
E3,45,23,5,7,10,0.8214285714285714,0.696969696969697,0.5833333333333334,0.7540983606557377,0.6666666666666666,0.6401515151515151,9,7,1
new10,28,11,3,7,7,0.7857142857142857,0.6111111111111112,0.7,0.6875,0.6428571428571429,0.6555555555555556,7,6,0
