group,n,TP,FP,TN,FN,precision,recall,specificity,f1,accuracy,balanced_accuracy,false_positive_rate
all,82,37,6,24,15,0.8604651162790697,0.7115384615384616,0.8,0.7789473684210527,0.7439024390243902,0.7557692307692307,0.2
E3,50,26,5,9,10,0.8387096774193549,0.7222222222222222,0.6428571428571429,0.7761194029850746,0.7,0.6825396825396826,0.35714285714285715
E45,32,11,1,15,5,0.9166666666666666,0.6875,0.9375,0.7857142857142857,0.8125,0.8125,0.0625
