threshold,present_correct,present_wrong_selection,present_rejected,unreviewed_selections,absent_rejected,absent_false_accepts,present_accuracy_percent,absent_rejection_percent,overall_correct,overall_accuracy_percent,overall_lower_percent,overall_upper_percent,target_confirmed
0.1,60,3,0,0,0,9,95.23809523809524,0.0,60,83.33333333333333,83.33333333333333,83.33333333333333,False
0.2,59,3,1,0,1,8,93.65079365079364,11.11111111111111,60,83.33333333333333,83.33333333333333,83.33333333333333,False
0.3,59,2,2,0,4,5,93.65079365079364,44.44444444444444,63,87.5,87.5,87.5,False
0.35,58,2,3,0,7,2,92.06349206349206,77.77777777777777,65,90.27777777777777,90.27777777777777,90.27777777777777,True
0.4,52,2,9,0,7,2,82.53968253968254,77.77777777777777,59,81.94444444444444,81.94444444444444,81.94444444444444,False
0.5,42,1,20,0,7,2,66.66666666666667,77.77777777777777,49,68.05555555555556,68.05555555555556,68.05555555555556,False
0.6,38,0,25,0,9,0,60.317460317460316,100.0,47,65.27777777777777,65.27777777777777,65.27777777777777,False
