trial,dataset,requested_material,candidate_id,score,margin_diagnostic_only,actual_class,label_source,correct,scores_file
old_26,original27,timber,candidate_002_timber,0.5294,0.4707,timber,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_026_TS_F12_timber/attempts/attempt_001/material_verification/material_scores.json
old_27,original27,concrete block,candidate_003_concrete_block,0.3874,0.21100000000000002,concrete block,reused_label,True,workspace/outputs/T5_v2_experiment_1_target_selection_fixed27/session_20260518_142404/cases/trial_027_TS_F12_concrete_block/attempts/attempt_001/material_verification/material_scores.json
case_001_brick,revision36,brick,candidate_002_brick,0.4374,0.3489,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_001_brick/material_scores.json
case_001_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.1952,0.07060000000000001,timber,reused_label,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_001_concrete_block/material_scores.json
case_001_timber,revision36,timber,candidate_003_timber,0.2466,0.09310000000000002,concrete block,reused_label,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_001_timber/material_scores.json
case_002_brick,revision36,brick,candidate_001_brick,0.3238,0.08009999999999998,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_002_brick/material_scores.json
case_002_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.2437,-0.08009999999999998,brick,reused_label,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_002_concrete_block/material_scores.json
case_002_timber,revision36,timber,candidate_002_timber,0.4674,0.4566,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_002_timber/material_scores.json
case_003_brick,revision36,brick,candidate_001_brick,0.3366,0.19870000000000002,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_003_brick/material_scores.json
case_003_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.1379,-0.19870000000000002,brick,manual,False,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_003_concrete_block/material_scores.json
case_003_timber,revision36,timber,candidate_002_timber,0.6981,0.6531,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_003_timber/material_scores.json
case_004_brick,revision36,brick,candidate_001_brick,0.3286,0.297,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_004_brick/material_scores.json
case_004_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.2791,0.2634,concrete block,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_004_concrete_block/material_scores.json
case_004_timber,revision36,timber,candidate_002_timber,0.4333,0.30770000000000003,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_004_timber/material_scores.json
case_005_brick,revision36,brick,candidate_001_brick,0.2923,0.2039,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_005_brick/material_scores.json
case_005_concrete_block,revision36,concrete block,candidate_003_concrete_block,0.1386,-0.1457,concrete block,manual,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_005_concrete_block/material_scores.json
case_005_timber,revision36,timber,candidate_002_timber,0.9171,0.9147000000000001,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_005_timber/material_scores.json
case_006_brick,revision36,brick,candidate_001_brick,0.3178,0.25150000000000006,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_006_brick/material_scores.json
case_006_concrete_block,revision36,concrete block,candidate_002_concrete_block,0.1295,-0.055499999999999994,concrete block,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_006_concrete_block/material_scores.json
case_006_timber,revision36,timber,candidate_003_timber,0.3459,0.08610000000000001,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_006_timber/material_scores.json
case_007_brick,revision36,brick,candidate_001_brick,0.4523,0.40469999999999995,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_007_brick/material_scores.json
case_007_concrete_block,revision36,concrete block,candidate_001_concrete_block,0.235,0.12249999999999998,concrete block,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_007_concrete_block/material_scores.json
case_007_timber,revision36,timber,candidate_001_timber,0.741,0.6867,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_007_timber/material_scores.json
case_008_brick,revision36,brick,candidate_001_brick,0.3137,0.20229999999999998,brick,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_008_brick/material_scores.json
case_008_concrete_block,revision36,concrete block,candidate_003_concrete_block,0.2944,0.11499999999999999,concrete block,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_008_concrete_block/material_scores.json
case_008_timber,revision36,timber,candidate_002_timber,0.5412,0.4565,timber,reused_label,True,workspace/outputs/revision_36_perception/original27_prompts_review/trials/case_008_timber/material_scores.json
