lower_threshold,lower_inclusive,upper_inclusive,present_correct,present_wrong_selection,present_rejected,unreviewed_selections,absent_rejected,absent_false_accepts,present_accuracy_percent,absent_rejection_percent,overall_correct,overall_accuracy_percent,overall_lower_percent,overall_upper_percent,target_confirmed
0.0,True,0.1175699308514595,60,3,0,0,0,9,95.23809523809524,0.0,60,83.33333333333333,83.33333333333333,83.33333333333333,False
0.1175699308514595,False,0.18803837895393372,60,3,0,0,1,8,95.23809523809524,11.11111111111111,61,84.72222222222223,84.72222222222223,84.72222222222223,False
0.18803837895393372,False,0.20826086401939392,59,3,1,0,1,8,93.65079365079364,11.11111111111111,60,83.33333333333333,83.33333333333333,83.33333333333333,False
0.20826086401939392,False,0.21190448105335236,59,2,2,0,1,8,93.65079365079364,11.11111111111111,60,83.33333333333333,83.33333333333333,83.33333333333333,False
0.21190448105335236,False,0.2646927833557129,59,2,2,0,2,7,93.65079365079364,22.22222222222222,61,84.72222222222223,84.72222222222223,84.72222222222223,False
0.2646927833557129,False,0.27165690064430237,59,2,2,0,3,6,93.65079365079364,33.333333333333336,62,86.11111111111111,86.11111111111111,86.11111111111111,False
0.27165690064430237,False,0.3095349371433258,59,2,2,0,4,5,93.65079365079364,44.44444444444444,63,87.5,87.5,87.5,False
0.3095349371433258,False,0.31559574604034424,59,2,2,0,5,4,93.65079365079364,55.55555555555556,64,88.88888888888889,88.88888888888889,88.88888888888889,False
0.31559574604034424,False,0.34317025542259216,58,2,3,0,5,4,92.06349206349206,55.55555555555556,63,87.5,87.5,87.5,False
0.34317025542259216,False,0.34849417209625244,58,2,3,0,6,3,92.06349206349206,66.66666666666667,64,88.88888888888889,88.88888888888889,88.88888888888889,False
0.34849417209625244,False,0.35584306716918945,58,2,3,0,7,2,92.06349206349206,77.77777777777777,65,90.27777777777777,90.27777777777777,90.27777777777777,True
0.35584306716918945,False,0.3635619878768921,57,2,4,0,7,2,90.47619047619048,77.77777777777777,64,88.88888888888889,88.88888888888889,88.88888888888889,True
