path_label,n_total,mask_n_valid,mask_MAE_mm,mask_RMSE_mm,mask_MAPE_percent,mask_signed_mean_error_mm,whole_roi_depth_n_valid,whole_roi_depth_MAE_mm,whole_roi_depth_RMSE_mm,whole_roi_depth_MAPE_percent,whole_roi_depth_signed_mean_error_mm,strip_depth_n_valid,strip_depth_MAE_mm,strip_depth_RMSE_mm,strip_depth_MAPE_percent,strip_depth_signed_mean_error_mm
major,15,15,3.0248102116854465,5.069171796611087,5.507547708524837,1.8102580117590368,15,1.215556357109938,1.5120978724903165,2.222649650451294,0.6824827814044473,15,0.9694841942783355,1.25598358502415,1.7101620828600317,0.13673022055245052
minor,15,15,3.470326942182578,7.745040025007669,1.5432253686814659,1.73095275621853,15,2.0278380849324815,2.5089323644392465,1.0927565899421297,0.5493714028493021,15,1.6327856514228425,1.932334784763222,0.9201773631803488,0.27515276570270447
all,30,30,3.2475685769340124,6.545309301038725,3.525386538603152,1.7706053839887834,30,1.6216972210212097,2.071374131503101,1.6577031201967116,0.6159270921268747,30,1.301134922850589,1.6296337757692745,1.3151697230201902,0.2059414931275775
