group,n_total,mask_n_valid,strip_depth_n_valid,strip_depth_n_invalid,mask_MAE_mm,mask_RMSE_mm,mask_MAPE_percent,mask_signed_mean_error_mm,mask_median_abs_error_mm,mask_max_abs_error_mm,strip_depth_MAE_mm,strip_depth_RMSE_mm,strip_depth_MAPE_percent,strip_depth_signed_mean_error_mm,strip_depth_median_abs_error_mm,strip_depth_max_abs_error_mm,strip_depth_valid_rate,improvement_mm,improvement_percent,best_method_by_MAE
major,15,15,15,0,3.0248102116854465,5.069171796611087,5.507547708524837,1.8102580117590368,0.6520186847176603,12.958898267252806,0.9694841942783355,1.25598358502415,1.7101620828600317,0.13673022055245052,0.6164390977873921,2.706050981781587,1.0,2.055326017407111,67.94892484384559,strip_depth
minor,15,15,15,0,3.470326942182578,7.745040025007669,1.5432253686814659,1.73095275621853,1.3094904386068151,29.04994569368671,1.6327856514228425,1.932334784763222,0.9201773631803488,0.27515276570270447,1.2436591198027145,3.508809031796204,1.0,1.8375412907597357,52.95009148630989,strip_depth
all,30,30,30,0,3.2475685769340124,6.545309301038725,3.525386538603152,1.7706053839887834,1.2393854625206515,29.04994569368671,1.301134922850589,1.6296337757692745,1.3151697230201902,0.2059414931275775,1.096409326036941,3.508809031796204,1.0,1.9464336540834233,59.935105540435615,strip_depth
timber_all,10,10,10,0,5.738720227264741,10.603588079541195,6.283519810691457,5.485814465802469,0.8729438660594511,29.04994569368671,1.287952617301959,1.527737826566404,1.7364429072259715,0.7482151176107926,1.096409326036941,3.108013786443621,1.0,4.4507676099627815,77.55679722487815,strip_depth
brick_all,10,10,10,0,2.6933061122299855,3.5775429055415655,2.867928770855233,-0.6854078802921869,2.320365945745266,9.139999170364291,1.375490190431286,1.777790804093441,0.9680207482506434,-1.2146164039725094,1.0732547297845514,3.508809031796204,1.0,1.3178159217986996,48.929303498575706,strip_depth
concrete_block_all,10,10,10,0,1.3106793913073105,1.813374792262531,1.424711034262766,0.5114095664560679,0.8528229193850763,3.990287186459014,1.239961960818522,1.5724489561009674,1.241045513583956,1.0842257657444492,0.8703568024844728,3.060535847680626,1.0,0.07071743048878854,5.395478936939176,strip_depth
